getter	page_var	logical_name	spec_alias	canonical_guess	page_id	pages_in_chain	total_record_slots	has_data	note	refs_catalog_cpp	refs_catalog_h	refs_executor_cpp	first_refs
databaseTablePage	database_table_page_	database			6	0	0	no	read_failed_2002	13	2	0	src/core/catalog_manager.cpp:9897,src/core/catalog_manager.cpp:9939,src/core/catalog_manager.cpp:9950,src/core/catalog_manager.cpp:12105,src/core/catalog_manager.cpp:19892,src/core/catalog_manager.cpp:20218
objectTablePage	object_table_page_	object			7	0	0	no	read_failed_2002	17	2	0	src/core/catalog_manager.cpp:9904,src/core/catalog_manager.cpp:9956,src/core/catalog_manager.cpp:9957,src/core/catalog_manager.cpp:12110,src/core/catalog_manager.cpp:19893,src/core/catalog_manager.cpp:20219
objectNameTablePage	object_name_table_page_	object_name			8	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:9911,src/core/catalog_manager.cpp:9963,src/core/catalog_manager.cpp:9964,src/core/catalog_manager.cpp:12115,src/core/catalog_manager.cpp:19894,src/core/catalog_manager.cpp:20220
domainsTablePage	domains_table_page_	domains	sys.domainrecord	sys.catalog.domains	44	1	0	no	ok	8	2	0	src/core/catalog_manager.cpp:10330,src/core/catalog_manager.cpp:10332,src/core/catalog_manager.cpp:10333,src/core/catalog_manager.cpp:12272,src/core/catalog_manager.cpp:15094,src/core/catalog_manager.cpp:15099
typeTablePage	type_table_page_	type			45	1	0	no	ok	21	2	0	src/core/catalog_manager.cpp:10337,src/core/catalog_manager.cpp:10339,src/core/catalog_manager.cpp:10340,src/core/catalog_manager.cpp:12277,src/core/catalog_manager.cpp:19660,src/core/catalog_manager.cpp:19986
typeModifiersTablePage	type_modifiers_table_page_	type_modifiers			46	1	0	no	ok	11	2	0	src/core/catalog_manager.cpp:10343,src/core/catalog_manager.cpp:10345,src/core/catalog_manager.cpp:10346,src/core/catalog_manager.cpp:12282,src/core/catalog_manager.cpp:19661,src/core/catalog_manager.cpp:19987
typeIoTablePage	type_io_table_page_	type_io			47	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10349,src/core/catalog_manager.cpp:10351,src/core/catalog_manager.cpp:10352,src/core/catalog_manager.cpp:12287,src/core/catalog_manager.cpp:19662,src/core/catalog_manager.cpp:19988
typeCastsTablePage	type_casts_table_page_	type_casts			48	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10355,src/core/catalog_manager.cpp:10357,src/core/catalog_manager.cpp:10358,src/core/catalog_manager.cpp:12292,src/core/catalog_manager.cpp:19663,src/core/catalog_manager.cpp:19989
typeTransformsTablePage	type_transforms_table_page_	type_transforms			49	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10361,src/core/catalog_manager.cpp:10363,src/core/catalog_manager.cpp:10364,src/core/catalog_manager.cpp:12297,src/core/catalog_manager.cpp:19664,src/core/catalog_manager.cpp:19990
encodingConversionsTablePage	encoding_conversions_table_page_	encoding_conversions			50	1	0	no	ok	15	2	0	src/core/catalog_manager.cpp:10367,src/core/catalog_manager.cpp:10369,src/core/catalog_manager.cpp:10370,src/core/catalog_manager.cpp:12302,src/core/catalog_manager.cpp:19665,src/core/catalog_manager.cpp:19991
domainParamKeysTablePage	domain_param_keys_table_page_	domain_param_keys			51	1	0	no	ok	15	2	0	src/core/catalog_manager.cpp:10374,src/core/catalog_manager.cpp:10376,src/core/catalog_manager.cpp:10377,src/core/catalog_manager.cpp:12307,src/core/catalog_manager.cpp:19666,src/core/catalog_manager.cpp:19992
domainParametersTablePage	domain_parameters_table_page_	domain_parameters			52	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10380,src/core/catalog_manager.cpp:10382,src/core/catalog_manager.cpp:10383,src/core/catalog_manager.cpp:12312,src/core/catalog_manager.cpp:19667,src/core/catalog_manager.cpp:19993
domainConstraintsTablePage	domain_constraints_table_page_	domain_constraints			53	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10386,src/core/catalog_manager.cpp:10388,src/core/catalog_manager.cpp:10389,src/core/catalog_manager.cpp:12317,src/core/catalog_manager.cpp:19668,src/core/catalog_manager.cpp:19994
domainSecurityTablePage	domain_security_table_page_	domain_security			54	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10392,src/core/catalog_manager.cpp:10394,src/core/catalog_manager.cpp:10395,src/core/catalog_manager.cpp:12322,src/core/catalog_manager.cpp:19669,src/core/catalog_manager.cpp:19995
domainValidationTablePage	domain_validation_table_page_	domain_validation			55	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10398,src/core/catalog_manager.cpp:10400,src/core/catalog_manager.cpp:10401,src/core/catalog_manager.cpp:12327,src/core/catalog_manager.cpp:19670,src/core/catalog_manager.cpp:19996
domainIntegrityTablePage	domain_integrity_table_page_	domain_integrity			56	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10404,src/core/catalog_manager.cpp:10406,src/core/catalog_manager.cpp:10407,src/core/catalog_manager.cpp:12332,src/core/catalog_manager.cpp:19671,src/core/catalog_manager.cpp:19997
charsetAliasesTablePage	charset_aliases_table_page_	charset_aliases			57	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10411,src/core/catalog_manager.cpp:10413,src/core/catalog_manager.cpp:10414,src/core/catalog_manager.cpp:12337,src/core/catalog_manager.cpp:19672,src/core/catalog_manager.cpp:19998
collationTailoringTablePage	collation_tailoring_table_page_	collation_tailoring			58	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10417,src/core/catalog_manager.cpp:10419,src/core/catalog_manager.cpp:10420,src/core/catalog_manager.cpp:12342,src/core/catalog_manager.cpp:19673,src/core/catalog_manager.cpp:19999
