engine,total_rows,mapped_rows,mandatory_scope_rows,mandatory_miss_rows,binding_pass_rows,binding_fail_rows,phase4_ready_rows,p0_rows,p1_rows,p2_rows
Cassandra,9,9,9,0,9,0,9,2,5,2
ClickHouse,8,8,8,0,8,0,8,2,5,1
DuckDB,8,8,8,0,8,0,8,3,4,1
FirebirdSQL,26,26,26,0,26,0,26,19,7,0
InfluxDB,6,6,6,0,6,0,6,2,3,1
MariaDB,9,9,9,0,9,0,9,2,5,2
Milvus,8,8,8,0,8,0,8,1,5,2
MongoDB,9,9,9,0,9,0,9,3,4,2
MySQL,32,32,32,0,32,0,32,20,12,0
Neo4j,8,8,8,0,8,0,8,1,4,3
OpenSearch,8,8,8,0,8,0,8,2,4,2
PostgreSQL,38,38,38,0,38,0,38,25,13,0
Redis,9,9,9,0,9,0,9,2,3,4
