getter	page_var	logical_name	spec_alias	canonical_guess	page_id	pages_in_chain	total_record_slots	has_data	note	refs_catalog_cpp	refs_catalog_h	refs_executor_cpp	first_refs
databaseTablePage	database_table_page_	database			6	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10044,src/core/catalog_manager.cpp:10086,src/core/catalog_manager.cpp:10097,src/core/catalog_manager.cpp:12252,src/core/catalog_manager.cpp:20040,src/core/catalog_manager.cpp:20366
objectTablePage	object_table_page_	object			7	1	0	no	ok	17	2	0	src/core/catalog_manager.cpp:10051,src/core/catalog_manager.cpp:10103,src/core/catalog_manager.cpp:10104,src/core/catalog_manager.cpp:12257,src/core/catalog_manager.cpp:20041,src/core/catalog_manager.cpp:20367
objectNameTablePage	object_name_table_page_	object_name			8	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10058,src/core/catalog_manager.cpp:10110,src/core/catalog_manager.cpp:10111,src/core/catalog_manager.cpp:12262,src/core/catalog_manager.cpp:20042,src/core/catalog_manager.cpp:20368
domainsTablePage	domains_table_page_	domains	sys.domainrecord	sys.catalog.domains	44	1	0	no	ok	8	2	0	src/core/catalog_manager.cpp:10477,src/core/catalog_manager.cpp:10479,src/core/catalog_manager.cpp:10480,src/core/catalog_manager.cpp:12419,src/core/catalog_manager.cpp:15241,src/core/catalog_manager.cpp:15246
typeTablePage	type_table_page_	type			45	1	0	no	ok	21	2	0	src/core/catalog_manager.cpp:10484,src/core/catalog_manager.cpp:10486,src/core/catalog_manager.cpp:10487,src/core/catalog_manager.cpp:12424,src/core/catalog_manager.cpp:19808,src/core/catalog_manager.cpp:20134
typeModifiersTablePage	type_modifiers_table_page_	type_modifiers			46	1	0	no	ok	11	2	0	src/core/catalog_manager.cpp:10490,src/core/catalog_manager.cpp:10492,src/core/catalog_manager.cpp:10493,src/core/catalog_manager.cpp:12429,src/core/catalog_manager.cpp:19809,src/core/catalog_manager.cpp:20135
typeIoTablePage	type_io_table_page_	type_io			47	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10496,src/core/catalog_manager.cpp:10498,src/core/catalog_manager.cpp:10499,src/core/catalog_manager.cpp:12434,src/core/catalog_manager.cpp:19810,src/core/catalog_manager.cpp:20136
typeCastsTablePage	type_casts_table_page_	type_casts			48	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10502,src/core/catalog_manager.cpp:10504,src/core/catalog_manager.cpp:10505,src/core/catalog_manager.cpp:12439,src/core/catalog_manager.cpp:19811,src/core/catalog_manager.cpp:20137
typeTransformsTablePage	type_transforms_table_page_	type_transforms			49	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10508,src/core/catalog_manager.cpp:10510,src/core/catalog_manager.cpp:10511,src/core/catalog_manager.cpp:12444,src/core/catalog_manager.cpp:19812,src/core/catalog_manager.cpp:20138
encodingConversionsTablePage	encoding_conversions_table_page_	encoding_conversions			50	1	0	no	ok	15	2	0	src/core/catalog_manager.cpp:10514,src/core/catalog_manager.cpp:10516,src/core/catalog_manager.cpp:10517,src/core/catalog_manager.cpp:12449,src/core/catalog_manager.cpp:19813,src/core/catalog_manager.cpp:20139
domainParamKeysTablePage	domain_param_keys_table_page_	domain_param_keys			51	1	0	no	ok	15	2	0	src/core/catalog_manager.cpp:10521,src/core/catalog_manager.cpp:10523,src/core/catalog_manager.cpp:10524,src/core/catalog_manager.cpp:12454,src/core/catalog_manager.cpp:19814,src/core/catalog_manager.cpp:20140
domainParametersTablePage	domain_parameters_table_page_	domain_parameters			52	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10527,src/core/catalog_manager.cpp:10529,src/core/catalog_manager.cpp:10530,src/core/catalog_manager.cpp:12459,src/core/catalog_manager.cpp:19815,src/core/catalog_manager.cpp:20141
domainConstraintsTablePage	domain_constraints_table_page_	domain_constraints			53	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10533,src/core/catalog_manager.cpp:10535,src/core/catalog_manager.cpp:10536,src/core/catalog_manager.cpp:12464,src/core/catalog_manager.cpp:19816,src/core/catalog_manager.cpp:20142
domainSecurityTablePage	domain_security_table_page_	domain_security			54	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10539,src/core/catalog_manager.cpp:10541,src/core/catalog_manager.cpp:10542,src/core/catalog_manager.cpp:12469,src/core/catalog_manager.cpp:19817,src/core/catalog_manager.cpp:20143
domainValidationTablePage	domain_validation_table_page_	domain_validation			55	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10545,src/core/catalog_manager.cpp:10547,src/core/catalog_manager.cpp:10548,src/core/catalog_manager.cpp:12474,src/core/catalog_manager.cpp:19818,src/core/catalog_manager.cpp:20144
domainIntegrityTablePage	domain_integrity_table_page_	domain_integrity			56	1	0	no	ok	12	2	0	src/core/catalog_manager.cpp:10551,src/core/catalog_manager.cpp:10553,src/core/catalog_manager.cpp:10554,src/core/catalog_manager.cpp:12479,src/core/catalog_manager.cpp:19819,src/core/catalog_manager.cpp:20145
charsetAliasesTablePage	charset_aliases_table_page_	charset_aliases			57	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10558,src/core/catalog_manager.cpp:10560,src/core/catalog_manager.cpp:10561,src/core/catalog_manager.cpp:12484,src/core/catalog_manager.cpp:19820,src/core/catalog_manager.cpp:20146
collationTailoringTablePage	collation_tailoring_table_page_	collation_tailoring			58	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10564,src/core/catalog_manager.cpp:10566,src/core/catalog_manager.cpp:10567,src/core/catalog_manager.cpp:12489,src/core/catalog_manager.cpp:19821,src/core/catalog_manager.cpp:20147
resourceBundlesTablePage	resource_bundles_table_page_	resource_bundles			59	1	0	no	ok	18	2	0	src/core/catalog_manager.cpp:10571,src/core/catalog_manager.cpp:10573,src/core/catalog_manager.cpp:10574,src/core/catalog_manager.cpp:12494,src/core/catalog_manager.cpp:19822,src/core/catalog_manager.cpp:20148
resourceArtifactsTablePage	resource_artifacts_table_page_	resource_artifacts			60	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10577,src/core/catalog_manager.cpp:10579,src/core/catalog_manager.cpp:10580,src/core/catalog_manager.cpp:12499,src/core/catalog_manager.cpp:19823,src/core/catalog_manager.cpp:20149
timezoneTransitionsTablePage	timezone_transitions_table_page_	timezone_transitions			61	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10583,src/core/catalog_manager.cpp:10585,src/core/catalog_manager.cpp:10586,src/core/catalog_manager.cpp:12504,src/core/catalog_manager.cpp:19824,src/core/catalog_manager.cpp:20150
timezoneLeapSecondsTablePage	timezone_leap_seconds_table_page_	timezone_leap_seconds			62	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10589,src/core/catalog_manager.cpp:10591,src/core/catalog_manager.cpp:10592,src/core/catalog_manager.cpp:12509,src/core/catalog_manager.cpp:19825,src/core/catalog_manager.cpp:20151
reservedWordsTablePage	reserved_words_table_page_	reserved_words			63	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10596,src/core/catalog_manager.cpp:10598,src/core/catalog_manager.cpp:10599,src/core/catalog_manager.cpp:12514,src/core/catalog_manager.cpp:19826,src/core/catalog_manager.cpp:20152
emulationProfileTablePage	emulation_profile_table_page_	emulation_profile			64	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10602,src/core/catalog_manager.cpp:10604,src/core/catalog_manager.cpp:10605,src/core/catalog_manager.cpp:12519,src/core/catalog_manager.cpp:19827,src/core/catalog_manager.cpp:20153
parserProfilesTablePage	parser_profiles_table_page_	parser_profiles			65	1	0	no	ok	21	2	0	src/core/catalog_manager.cpp:10608,src/core/catalog_manager.cpp:10610,src/core/catalog_manager.cpp:10611,src/core/catalog_manager.cpp:12524,src/core/catalog_manager.cpp:19828,src/core/catalog_manager.cpp:20154
parserCapabilityEntriesTablePage	parser_capability_entries_table_page_	parser_capability_entries			66	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10614,src/core/catalog_manager.cpp:10616,src/core/catalog_manager.cpp:10617,src/core/catalog_manager.cpp:12529,src/core/catalog_manager.cpp:19829,src/core/catalog_manager.cpp:20155
parserTransformEntriesTablePage	parser_transform_entries_table_page_	parser_transform_entries			67	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10620,src/core/catalog_manager.cpp:10622,src/core/catalog_manager.cpp:10623,src/core/catalog_manager.cpp:12534,src/core/catalog_manager.cpp:19830,src/core/catalog_manager.cpp:20156
parserErrorMapEntriesTablePage	parser_error_map_entries_table_page_	parser_error_map_entries			68	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10626,src/core/catalog_manager.cpp:10628,src/core/catalog_manager.cpp:10629,src/core/catalog_manager.cpp:12539,src/core/catalog_manager.cpp:19831,src/core/catalog_manager.cpp:20157
parserFeaturePrecedenceTablePage	parser_feature_precedence_table_page_	parser_feature_precedence			69	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10632,src/core/catalog_manager.cpp:10634,src/core/catalog_manager.cpp:10635,src/core/catalog_manager.cpp:12545,src/core/catalog_manager.cpp:19832,src/core/catalog_manager.cpp:20158
partitionedTablesTablePage	partitioned_tables_table_page_	partitioned_tables			70	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10639,src/core/catalog_manager.cpp:10641,src/core/catalog_manager.cpp:10642,src/core/catalog_manager.cpp:12550,src/core/catalog_manager.cpp:19833,src/core/catalog_manager.cpp:20159
partitionsTablePage	partitions_table_page_	partitions			71	1	0	no	ok	15	2	0	src/core/catalog_manager.cpp:10645,src/core/catalog_manager.cpp:10647,src/core/catalog_manager.cpp:10648,src/core/catalog_manager.cpp:12555,src/core/catalog_manager.cpp:19834,src/core/catalog_manager.cpp:20160
tableInheritanceTablePage	table_inheritance_table_page_	table_inheritance			72	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10651,src/core/catalog_manager.cpp:10653,src/core/catalog_manager.cpp:10654,src/core/catalog_manager.cpp:12560,src/core/catalog_manager.cpp:19835,src/core/catalog_manager.cpp:20161
languagesTablePage	languages_table_page_	languages			73	1	0	no	ok	14	2	0	src/core/catalog_manager.cpp:10657,src/core/catalog_manager.cpp:10659,src/core/catalog_manager.cpp:10660,src/core/catalog_manager.cpp:12565,src/core/catalog_manager.cpp:19836,src/core/catalog_manager.cpp:20162
eventsTablePage	events_table_page_	events			74	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10663,src/core/catalog_manager.cpp:10665,src/core/catalog_manager.cpp:10666,src/core/catalog_manager.cpp:12570,src/core/catalog_manager.cpp:19837,src/core/catalog_manager.cpp:20163
packageMembersTablePage	package_members_table_page_	package_members			75	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10669,src/core/catalog_manager.cpp:10671,src/core/catalog_manager.cpp:10672,src/core/catalog_manager.cpp:12575,src/core/catalog_manager.cpp:19838,src/core/catalog_manager.cpp:20164
indexColumnsTablePage	index_columns_table_page_	index_columns			76	1	0	no	ok	13	2	0	src/core/catalog_manager.cpp:10676,src/core/catalog_manager.cpp:10678,src/core/catalog_manager.cpp:10679,src/core/catalog_manager.cpp:12580,src/core/catalog_manager.cpp:19839,src/core/catalog_manager.cpp:20165
indexOpclassTablePage	index_opclass_table_page_	index_opclass			77	1	0	no	ok	15	2	0	src/core/catalog_manager.cpp:10682,src/core/catalog_manager.cpp:10684,src/core/catalog_manager.cpp:10685,src/core/catalog_manager.cpp:12585,src/core/catalog_manager.cpp:19840,src/core/catalog_manager.cpp:20166
